module,phase,name,code,sequence,workflow-file,command,required,agent-name,agent-command,agent-display-name,agent-title,options,description,output-location,outputs
cis,anytime,Problem Solving,PS,,_gsane/cis/workflows/problem-solving/workflow.yaml,gsane-cis-problem-solving,false,creative-problem-solver,gsane:curious:agent:creative-problem-solver,Dr. Quinn,🔬 Master Problem Solver,Create Mode,Apply systematic problem-solving methodologies to crack complex challenges. Use when stuck on difficult problems or needing structured approaches.,output_folder,problem solution
cis,anytime,Design Thinking,DT,,_gsane/cis/workflows/design-thinking/workflow.yaml,gsane-cis-design-thinking,false,design-thinking-coach,gsane:uses vivid sensory metaphors:agent:design-thinking-coach,Maya,🎨 Design Thinking Maestro,Create Mode,Guide human-centered design processes using empathy-driven methodologies. Use for user-centered design challenges or improving user experience.,output_folder,design thinking
cis,anytime,Brainstorming,BS,,_gsane/core/workflows/brainstorming/workflow.md,gsane-cis-brainstorming,false,brainstorming-coach,gsane:builds on ideas with YES AND:agent:brainstorming-coach,Carson,🧠 Elite Brainstorming Specialist,Create Mode,Facilitate brainstorming sessions using one or more techniques. Use early in ideation phase or when stuck generating ideas.,output_folder,brainstorming session results
cis,anytime,Storytelling,ST,,_gsane/cis/workflows/storytelling/workflow.yaml,gsane-cis-storytelling,false,storyteller,gsane:whimsical:agent:storyteller,Sophia,📖 Master Storyteller,Create Mode,Craft compelling narratives using proven story frameworks and techniques. Use when needing persuasive communication or story-driven content.,output_folder,narrative/story
core,anytime,Brainstorming,BSP,,_gsane/core/workflows/brainstorming/workflow.md,gsane-brainstorming,false,analyst,,,,,Generate diverse ideas through interactive techniques. Use early in ideation phase or when stuck generating ideas.,{output_folder}/brainstorming/brainstorming-session-{{date}}.md,
core,anytime,Party Mode,PM,,_gsane/core/workflows/party-mode/workflow.md,gsane-party-mode,false,party-mode facilitator,,,,,Orchestrate multi-agent discussions. Use when you need multiple agent perspectives or want agents to collaborate.,,
core,anytime,gsane-help,BH,,_gsane/core/tasks/help.md,gsane-help,false,,,,,,Get unstuck by showing what workflow steps come next or answering Gsane Method questions.,,
core,anytime,Index Docs,ID,,_gsane/core/tasks/index-docs.xml,gsane-index-docs,false,,,,,,Create lightweight index for quick LLM scanning. Use when LLM needs to understand available docs without loading everything.,,
core,anytime,Shard Document,SD,,_gsane/core/tasks/shard-doc.xml,gsane-shard-doc,false,,,,,,Split large documents into smaller files by sections. Use when doc becomes too large (>500 lines) to manage effectively.,,
core,anytime,Editorial Review - Prose,EP,,_gsane/core/tasks/editorial-review-prose.xml,gsane-editorial-review-prose,false,,,,,,"Review prose for clarity, tone, and communication issues. Use after drafting to polish written content.",report located with target document,three-column markdown table with suggested fixes
core,anytime,Editorial Review - Structure,ES,,_gsane/core/tasks/editorial-review-structure.xml,gsane-editorial-review-structure,false,,,,,,"Propose cuts, reorganization, and simplification while preserving comprehension. Use when doc produced from multiple subprocesses or needs structural improvement.",report located with target document,
core,anytime,Adversarial Review (General),AR,,_gsane/core/tasks/review-adversarial-general.xml,gsane-review-adversarial-general,false,,,,,,"Review content critically to find issues and weaknesses. Use for quality assurance or before finalizing deliverables. Code Review in other modules run this automatically, but its useful also for document reviews",,
core,anytime,Edge Case Hunter Review,ECH,,_gsane/core/tasks/review-edge-case-hunter.xml,gsane-review-edge-case-hunter,false,,,,,,"Walk every branching path and boundary condition in code, report only unhandled edge cases. Use alongside adversarial review for orthogonal coverage - method-driven not attitude-driven.",,
tea,0-learning,Teach Me Testing,TMT,10,_gsane/tea/workflows/testarch/teach-me-testing/workflow.md,gsane-tea-teach-me-testing,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Teach testing fundamentals through 7 sessions (TEA Academy),test_artifacts,progress file|session notes|certificate
tea,3-solutioning,Test Design,TD,10,_gsane/tea/workflows/testarch/test-design/workflow.yaml,gsane-tea-testarch-test-design,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Risk-based test planning,test_artifacts,test design document
tea,3-solutioning,Test Framework,TF,20,_gsane/tea/workflows/testarch/framework/workflow.yaml,gsane-tea-testarch-framework,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Initialize production-ready test framework,test_artifacts,framework scaffold
tea,3-solutioning,CI Setup,CI,30,_gsane/tea/workflows/testarch/ci/workflow.yaml,gsane-tea-testarch-ci,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Configure CI/CD quality pipeline,test_artifacts,ci config
tea,4-implementation,ATDD,AT,10,_gsane/tea/workflows/testarch/atdd/workflow.yaml,gsane-tea-testarch-atdd,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Generate failing tests (TDD red phase),test_artifacts,atdd tests
tea,4-implementation,Test Automation,TA,20,_gsane/tea/workflows/testarch/automate/workflow.yaml,gsane-tea-testarch-automate,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Expand test coverage,test_artifacts,test suite
tea,4-implementation,Test Review,RV,30,_gsane/tea/workflows/testarch/test-review/workflow.yaml,gsane-tea-testarch-test-review,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Validate Mode,Quality audit (0-100 scoring),test_artifacts,review report
tea,4-implementation,NFR Assessment,NR,40,_gsane/tea/workflows/testarch/nfr-assess/workflow.yaml,gsane-tea-testarch-nfr,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Non-functional requirements,test_artifacts,nfr report
tea,4-implementation,Traceability,TR,50,_gsane/tea/workflows/testarch/trace/workflow.yaml,gsane-tea-testarch-trace,false,tea,gsane:backend services:agent:tea,Murat,🧪 Master Test Architect and Quality Advisor,Create Mode,Coverage traceability and gate,test_artifacts,traceability matrix|gate decision
core,anytime,Completion Contract,CC,,_gsane/core/workflows/cc-verify/workflow.md,gsane-cc-verify,false,gsane-master,gsane:Direct and comprehensive:agent:gsane-master,Gsane Master,🧙 Gsane Master Executor,Validate Mode,"Run the 20-point Completion Contract before declaring any task done. Checks git, CHANGELOG, quality, manifests, and CI.",_gsane-output/,CC PASS/FAIL report
core,anytime,Session Branch,SB,,_gsane/core/workflows/session-branch/workflow.md,gsane-session-branch,false,gsane-master,gsane:Direct and comprehensive:agent:gsane-master,Gsane Master,🧙 Gsane Master Executor,Validate Mode,"Verify or create the correct feature/fix branch before starting any work session. Prevents accidental commits to main.",_gsane-output/,branch name
core,anytime,Optimize GSANE,LO,,_gsane/core/agents/gsane-optimizer.md,gsane-gsane-optimizer,false,gsane-optimizer,gsane:data-driven and precise:agent:gsane-optimizer,Léo,⚙️ GSANE Framework Optimizer,Optimize Mode,"Analyze token usage, session patterns, and drive continuous framework improvement. Use when you want to audit session efficiency or optimize GSANE configurations.",_gsane-output/,optimization report
bmb,anytime,QA GSANE,QA,,_gsane/bmb/agents/qa-gsane.md,gsane-qa-gsane,false,qa-gsane,gsane:methodical and thorough:agent:qa-gsane,Aria,🔍 GSANE Quality Assurance Specialist,Validate Mode,"Validate GSANE artifacts for quality and detect regressions. Use when you want to check agent consistency, workflow compliance, or manifest sync.",_gsane-output/,QA report
